iter	Passed	Remaining
0	3	360
1	6	339
2	10	328
3	13	317
4	16	313
5	19	309
6	23	306
7	26	299
8	28	290
9	31	283
10	34	276
11	36	270
12	39	264
13	42	258
14	44	254
15	47	249
16	50	244
17	52	240
18	55	236
19	58	232
20	60	228
21	63	225
22	66	221
23	68	218
24	71	214
25	74	211
26	77	208
27	79	205
28	82	201
29	85	198
30	87	195
31	90	192
32	93	189
33	96	186
34	98	183
35	101	180
36	104	177
37	106	174
38	109	171
39	112	168
40	114	165
41	117	162
42	120	159
43	123	156
44	125	153
45	127	149
46	130	147
47	133	144
48	135	141
49	138	138
50	141	135
51	143	132
52	146	129
53	149	127
54	151	124
55	154	121
56	157	118
57	160	115
58	162	113
59	164	109
60	167	106
61	169	104
62	172	101
63	175	98
64	177	95
65	180	93
66	183	90
67	186	87
68	188	84
69	191	82
70	194	79
71	196	76
72	199	73
73	202	71
74	205	68
75	207	65
76	210	62
77	213	60
78	215	57
79	218	54
80	221	51
81	224	49
82	226	46
83	229	43
84	232	40
85	234	38
86	237	35
87	240	32
88	242	30
89	245	27
90	248	24
91	250	21
92	253	19
93	256	16
94	258	13
95	261	10
96	264	8
97	267	5
98	269	2
99	272	0
