iter	Logloss
0	0.6904118347
1	0.6879034424
2	0.685566864
3	0.6829759979
4	0.6811732483
5	0.678792572
6	0.6770381165
7	0.6744648743
8	0.6717745209
9	0.6697253418
10	0.6674328613
11	0.6649620056
12	0.6631036377
13	0.6606003571
14	0.6587854004
15	0.6568363953
16	0.6548763275
17	0.6535813141
18	0.6514260864
19	0.6492221069
20	0.6469590759
21	0.645112915
22	0.6433521271
23	0.6417124176
24	0.6402233887
25	0.6387921143
26	0.6375004959
27	0.6356676483
28	0.6340991211
29	0.6323218536
30	0.6308435822
31	0.6291294098
32	0.6274157715
33	0.6260527802
34	0.6246658325
35	0.6233044434
36	0.6212021637
37	0.6193187332
38	0.617806015
39	0.6163591766
40	0.6147992706
41	0.6135278702
42	0.6120895767
43	0.6111211395
44	0.6094783783
45	0.6081697464
46	0.6066966248
47	0.6051152802
48	0.6038683319
49	0.6018533325
50	0.600234375
51	0.598702507
52	0.5976487732
53	0.5961043549
54	0.5951586914
55	0.5941915512
56	0.5929327774
57	0.5918234253
58	0.5905566788
59	0.5893997192
60	0.5883237839
61	0.58713974
62	0.5858369827
63	0.5846591187
64	0.5836637497
65	0.5826337433
66	0.5812601471
67	0.5800891113
68	0.5787853622
69	0.5779732895
70	0.576982193
71	0.5758273315
72	0.5747725677
73	0.5737493896
74	0.5729019547
75	0.5718978119
76	0.570901413
77	0.569730072
78	0.5686853409
79	0.5675510406
80	0.5666553497
81	0.5655160904
82	0.5646183395
83	0.5637100983
84	0.5628795624
85	0.5620521927
86	0.5611198044
87	0.5603783417
88	0.5595570374
89	0.5586315918
90	0.5576390839
91	0.5569968414
92	0.5559667969
93	0.5548923874
94	0.5540696335
95	0.5531532288
96	0.5523416138
97	0.5517769623
98	0.5513793945
99	0.550696373
100	0.5499897766
101	0.5491949844
102	0.5484053802
103	0.5474741745
104	0.5470568466
105	0.5466119003
106	0.5459632874
107	0.5452416229
108	0.5443974686
109	0.5438629532
110	0.5432889175
111	0.5424869919
112	0.5418796921
113	0.5410231781
114	0.5400622559
115	0.5394398499
116	0.5387647247
117	0.5380641174
118	0.5373197556
119	0.536792984
120	0.5360351944
121	0.5355633163
122	0.5350045013
123	0.5344825745
124	0.5339151382
125	0.5335043335
126	0.53281353
127	0.5320662689
128	0.5316606903
129	0.5310391998
130	0.5305281448
131	0.5299962616
132	0.5293465424
133	0.5287234497
134	0.5281930161
135	0.5278463745
136	0.5272877502
137	0.5267118073
138	0.5261747742
139	0.5255388641
140	0.5247655487
141	0.5237474823
142	0.5236497879
143	0.5228821564
144	0.5223753738
145	0.5215167999
146	0.5212121964
147	0.5208638763
148	0.5203784561
149	0.5201839447
150	0.5195124817
151	0.5189144135
152	0.5185017395
153	0.5179016876
154	0.5174232864
155	0.5170767212
156	0.5167376328
157	0.5162320328
158	0.5157865524
159	0.5152156448
160	0.5147312164
161	0.5141274643
162	0.5136841583
163	0.5130558014
164	0.5124624634
165	0.5118183899
166	0.5114603424
167	0.5107818604
168	0.5102676392
169	0.5097887802
170	0.5092744827
171	0.5089269257
172	0.5081135178
173	0.5076551056
174	0.5069520569
175	0.5063451004
176	0.5057836914
177	0.5055152893
178	0.5050618362
179	0.5045932007
180	0.5041814423
181	0.5035995865
182	0.5029351044
183	0.5023909378
184	0.501920929
185	0.5014743805
186	0.5010024261
187	0.5007351303
188	0.5004386902
189	0.4997227097
190	0.4992712402
191	0.4986179352
192	0.498302536
193	0.4980021667
194	0.4974559021
195	0.496939621
196	0.4962869644
197	0.4959019089
198	0.4953997803
199	0.4949695587
200	0.4946638489
201	0.4945101547
202	0.4941366577
203	0.4936283112
204	0.4932164001
205	0.4925695419
206	0.4919011688
207	0.4914156723
208	0.4910042191
209	0.490515213
210	0.4901108932
211	0.4895017624
212	0.4889316559
213	0.4884055328
214	0.4878412628
215	0.4873096085
216	0.4869363403
217	0.4863816071
218	0.485942688
219	0.4855255127
220	0.4849850464
221	0.4845525742
222	0.4839663696
223	0.4837033844
224	0.4833189392
225	0.4828723145
226	0.482421875
227	0.4819376373
228	0.4818780136
229	0.4814900208
230	0.4810521317
231	0.4805927277
232	0.4802627563
233	0.4797559357
234	0.4791976166
235	0.4787629318
236	0.4783500671
237	0.4780237579
238	0.4773871613
239	0.4767297363
240	0.4760839462
241	0.4756180573
242	0.4752791595
243	0.474822998
244	0.4743270111
245	0.4739375305
246	0.4733899689
247	0.4728916931
248	0.4725747681
249	0.4721531677
250	0.4716714096
251	0.4712639236
252	0.4708250809
253	0.4705210495
254	0.4702322006
255	0.4698651886
256	0.4694906235
257	0.4690685272
258	0.4685490036
259	0.4679518509
260	0.4676930618
261	0.4672216034
262	0.4669355774
263	0.4667771912
264	0.4664728165
265	0.4659737396
266	0.4657535553
267	0.4654652405
268	0.4650822449
269	0.4648112869
270	0.4644886017
271	0.4641445923
272	0.4637504959
273	0.4635140991
274	0.4633361816
275	0.463055191
276	0.4625101471
277	0.4622815704
278	0.4619191742
279	0.4618624115
280	0.4615542221
281	0.4612309647
282	0.4607231903
283	0.4604727554
284	0.4603074265
285	0.459970932
286	0.4595806122
287	0.4591990662
288	0.4588082123
289	0.4583872986
290	0.4581707001
291	0.4575793457
292	0.4573112488
293	0.4570690536
294	0.456697197
295	0.4564096069
296	0.4561371613
297	0.4558590698
298	0.4555633163
299	0.4549950409
300	0.4547883606
301	0.4545763397
302	0.4542355728
303	0.4538041306
304	0.453398819
305	0.4531641769
306	0.4527945328
307	0.4525350189
308	0.4523130798
309	0.452081604
310	0.4516377258
311	0.4512475204
312	0.4508358765
313	0.4504891205
314	0.4501448441
315	0.4498578644
316	0.4495415878
317	0.4491820908
318	0.4489017487
319	0.448614006
320	0.4481994629
321	0.4479664993
322	0.4475471878
323	0.4470885086
324	0.4468068695
325	0.4465562439
326	0.4463282013
327	0.4459600449
328	0.4457861328
329	0.4456335449
330	0.4453285217
331	0.4451582336
332	0.4448654938
333	0.4446443176
334	0.4443186951
335	0.4439777756
336	0.4437556458
337	0.4434867859
338	0.4429965973
339	0.4424346161
340	0.4421173859
341	0.4418045044
342	0.4415707397
343	0.4413619232
344	0.440973053
345	0.4407266617
346	0.4405270386
347	0.4403390503
348	0.4401529694
349	0.4399621201
350	0.439581604
351	0.4393814087
352	0.4390580368
353	0.4387236786
354	0.4383844757
355	0.4379735184
356	0.4376327896
357	0.4373500443
358	0.437053299
359	0.4368730927
360	0.4366899109
361	0.4364559937
362	0.4361252594
363	0.435929184
364	0.4356104279
365	0.4351247406
366	0.4347988892
367	0.4346257019
368	0.4343764496
369	0.4341273117
370	0.4338455582
371	0.4336400604
372	0.433503418
373	0.4331684875
374	0.4330275345
375	0.4326137924
376	0.4323536301
377	0.4321163559
378	0.4317546463
379	0.4314431763
380	0.4312049866
381	0.4309627914
382	0.4306695175
383	0.4303741074
384	0.4300688553
385	0.4298416138
386	0.4294433975
387	0.4290274429
388	0.4287120819
389	0.4284729767
390	0.4281477356
391	0.4277916718
392	0.4274397659
393	0.4270701981
394	0.4267510223
395	0.4264459229
396	0.4261655426
397	0.4258946991
398	0.4257304001
399	0.4254239273
400	0.4251266098
401	0.4247730255
402	0.4245892715
403	0.424178772
404	0.4237055969
405	0.4233146667
406	0.4229787827
407	0.4228049088
408	0.4225805283
409	0.4222022247
410	0.421800499
411	0.4215348816
412	0.4212228394
413	0.4207941437
414	0.4206296539
415	0.4204584503
416	0.4201934433
417	0.4198762512
418	0.4196028137
419	0.4193703461
420	0.4191761017
421	0.4188349915
422	0.4185723877
423	0.4183413696
424	0.4180157089
425	0.4177362823
426	0.4174886703
427	0.4172315979
428	0.416993866
429	0.416632843
430	0.4164207458
431	0.4161332703
432	0.4158251953
433	0.4154883957
434	0.4153294373
435	0.4151560211
436	0.4147807312
437	0.4144986725
438	0.4140666199
439	0.4139269257
440	0.4136150742
441	0.4134083557
442	0.4131098938
443	0.4125922394
444	0.4122626114
445	0.4120237732
446	0.4117954636
447	0.4115207291
448	0.4111223221
449	0.4109553146
450	0.4105358124
451	0.4103003693
452	0.4100454712
453	0.4098634338
454	0.4094138336
455	0.4092768478
456	0.4090574265
457	0.4088611603
458	0.4086891937
459	0.4085014343
460	0.4081600571
461	0.4079029846
462	0.4075919342
463	0.4073649979
464	0.4070410919
465	0.4068743896
466	0.4065412903
467	0.4062714386
468	0.4059280777
469	0.405762558
470	0.4055026245
471	0.4053091431
472	0.4049196625
473	0.4046235657
474	0.4043988037
475	0.4041928864
476	0.4040006256
477	0.4037610245
478	0.403656311
479	0.4032990646
480	0.4031438828
481	0.4029256439
482	0.4025647736
483	0.4023736191
484	0.4021552277
485	0.4019937134
486	0.4015737152
487	0.4014337921
488	0.4012577057
489	0.4010258484
490	0.4007193375
491	0.4004278946
492	0.4002014542
493	0.4000241852
494	0.3998329163
495	0.3994216537
496	0.399291153
497	0.3990589905
498	0.3989685822
499	0.3987692261
500	0.3986077499
501	0.3983161926
502	0.398004837
503	0.3977368927
504	0.3975618362
505	0.3972758484
506	0.3970995712
507	0.3969439697
508	0.3964178467
509	0.396241684
510	0.3960797119
511	0.3958287048
512	0.3954889679
513	0.3951064682
514	0.3949085617
515	0.3946025467
516	0.3942487335
517	0.3940513611
518	0.3938391876
519	0.3935135651
520	0.3931449127
521	0.3928078461
522	0.3925354767
523	0.3922992706
524	0.3920039368
525	0.3919091034
526	0.3916262817
527	0.3915116119
528	0.3912878036
529	0.3910467529
530	0.3907507706
531	0.3905622864
532	0.3903171539
533	0.3900886917
534	0.3899211121
535	0.3895720291
536	0.3893105316
537	0.3891231155
538	0.3889474487
539	0.3885830688
540	0.3883012009
541	0.3879502869
