iter	Passed	Remaining
0	158	158489
1	162	81162
2	165	55146
3	169	42186
4	174	34677
5	177	29445
6	180	25597
7	183	22754
8	186	20535
9	190	18835
10	193	17408
11	196	16184
12	199	15162
13	202	14283
14	206	13528
15	209	12865
16	211	12255
17	213	11649
18	216	11168
19	219	10758
20	222	10379
21	225	10028
22	228	9703
23	231	9402
24	234	9152
25	237	8901
26	239	8645
27	242	8424
28	245	8218
29	248	8039
30	251	7865
31	254	7702
32	257	7549
33	259	7382
34	262	7249
35	266	7132
36	269	7007
37	272	6886
38	274	6772
39	277	6665
40	281	6580
41	284	6479
42	286	6384
43	289	6292
44	292	6203
45	295	6128
46	298	6049
47	301	5973
48	304	5903
49	306	5830
50	309	5762
51	312	5696
52	315	5632
53	317	5569
54	320	5508
55	323	5451
56	326	5402
57	329	5353
58	332	5302
59	335	5248
60	337	5197
61	340	5155
62	343	5112
63	346	5069
64	349	5025
65	352	4981
66	354	4942
67	357	4906
68	360	4866
69	363	4828
70	366	4789
71	368	4752
72	372	4725
73	374	4690
74	377	4655
75	380	4621
76	382	4588
77	385	4560
78	388	4533
79	391	4504
80	394	4473
81	397	4445
82	399	4417
83	403	4396
84	405	4370
85	408	4344
86	411	4319
87	414	4294
88	417	4270
89	420	4248
90	422	4224
91	425	4199
92	428	4175
93	430	4153
94	434	4136
95	437	4116
96	439	4094
97	442	4072
98	444	4042
99	446	4021
100	450	4007
101	453	3989
102	455	3969
103	458	3950
104	460	3926
105	462	3903
106	465	3888
107	468	3870
108	471	3853
109	474	3837
110	476	3819
111	479	3805
112	482	3790
113	485	3774
114	488	3757
115	490	3740
116	493	3725
117	496	3713
118	499	3697
119	502	3682
120	504	3668
121	507	3653
122	510	3640
123	513	3629
124	516	3616
125	519	3601
126	521	3587
127	524	3574
128	528	3566
129	531	3554
130	533	3541
131	536	3528
132	539	3514
133	542	3506
134	545	3495
135	548	3485
136	551	3473
137	554	3460
138	556	3449
139	560	3442
140	563	3431
141	565	3419
142	567	3399
143	569	3388
144	572	3377
145	575	3368
146	578	3356
147	581	3345
148	583	3334
149	585	3319
150	588	3309
151	591	3300
152	594	3289
153	596	3278
154	599	3268
155	602	3257
156	605	3249
157	608	3240
158	610	3230
159	613	3220
160	616	3210
161	618	3201
162	621	3193
